Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Branch and Bound,18,1,"[0, 14, 13, 2, 12, 16, 9, 3, 17, 6, 5, 7, 10, 4, 15, 8, 11, 1, 0]",59.0,0,0.9422202999703586
Branch and Bound,18,1,"[0, 14, 13, 2, 12, 16, 9, 3, 17, 6, 5, 7, 10, 4, 15, 8, 11, 1, 0]",59.0,1,0.9407212999649346
Branch and Bound,18,1,"[0, 14, 13, 2, 12, 16, 9, 3, 17, 6, 5, 7, 10, 4, 15, 8, 11, 1, 0]",59.0,2,0.9608366999891587
Branch and Bound,18,1,"[0, 14, 13, 2, 12, 16, 9, 3, 17, 6, 5, 7, 10, 4, 15, 8, 11, 1, 0]",59.0,3,0.9407387999817729
Branch and Bound,18,1,"[0, 14, 13, 2, 12, 16, 9, 3, 17, 6, 5, 7, 10, 4, 15, 8, 11, 1, 0]",59.0,4,0.9403758000116795
Branch and Bound,19,1,"[0, 1, 16, 8, 9, 2, 4, 6, 15, 11, 7, 12, 3, 14, 10, 5, 18, 13, 17, 0]",70.0,0,20.591651700029615
Branch and Bound,19,1,"[0, 1, 16, 8, 9, 2, 4, 6, 15, 11, 7, 12, 3, 14, 10, 5, 18, 13, 17, 0]",70.0,1,20.597661999985576
Branch and Bound,19,1,"[0, 1, 16, 8, 9, 2, 4, 6, 15, 11, 7, 12, 3, 14, 10, 5, 18, 13, 17, 0]",70.0,2,20.600109599996358
Branch and Bound,19,1,"[0, 1, 16, 8, 9, 2, 4, 6, 15, 11, 7, 12, 3, 14, 10, 5, 18, 13, 17, 0]",70.0,3,20.62389709998388
Branch and Bound,19,1,"[0, 1, 16, 8, 9, 2, 4, 6, 15, 11, 7, 12, 3, 14, 10, 5, 18, 13, 17, 0]",70.0,4,20.643928599951323
Branch and Bound,20,1,"[0, 18, 13, 17, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 14, 16, 0]",60.0,0,1.37308980000671
Branch and Bound,20,1,"[0, 18, 13, 17, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 14, 16, 0]",60.0,1,1.3849205000442453
