Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Beam width,Time
Beam Search,40,1,"[0, 1, 21, 4, 9, 11, 6, 17, 12, 15, 5, 25, 14, 29, 27, 28, 24, 2, 30, 38, 37, 3, 8, 26, 22, 35, 23, 39, 7, 32, 34, 36, 33, 18, 10, 20, 19, 16, 31, 13, 0]",105.0,0,1,0.1287919000023976
Beam Search,40,1,"[0, 1, 21, 4, 9, 11, 6, 17, 12, 15, 5, 25, 14, 29, 27, 28, 24, 2, 30, 38, 37, 3, 8, 26, 22, 35, 23, 39, 7, 32, 34, 36, 33, 18, 10, 20, 19, 16, 31, 13, 0]",105.0,1,1,0.12896669999463484
Beam Search,40,1,"[0, 1, 21, 4, 9, 11, 6, 17, 12, 15, 5, 25, 14, 29, 27, 28, 24, 2, 30, 38, 37, 3, 8, 26, 22, 35, 23, 39, 7, 32, 34, 36, 33, 18, 10, 20, 19, 16, 31, 13, 0]",105.0,2,1,0.1287612000014633
Beam Search,40,1,"[0, 1, 21, 4, 9, 11, 6, 17, 12, 15, 5, 25, 14, 29, 27, 28, 24, 2, 30, 38, 37, 3, 8, 26, 22, 35, 23, 39, 7, 32, 34, 36, 33, 18, 10, 20, 19, 16, 31, 13, 0]",105.0,3,1,0.12912460003281012
Beam Search,40,1,"[0, 1, 21, 4, 9, 11, 6, 17, 12, 15, 5, 25, 14, 29, 27, 28, 24, 2, 30, 38, 37, 3, 8, 26, 22, 35, 23, 39, 7, 32, 34, 36, 33, 18, 10, 20, 19, 16, 31, 13, 0]",105.0,4,1,0.1296038999571465
Beam Search,40,1,"[0, 1, 21, 37, 23, 30, 29, 15, 20, 2, 5, 25, 31, 17, 12, 4, 19, 9, 11, 6, 18, 7, 32, 27, 28, 24, 10, 3, 8, 26, 13, 33, 16, 34, 39, 36, 35, 14, 38, 22, 0]",110.0,0,4,0.48380819999147207
Beam Search,40,1,"[0, 1, 21, 37, 23, 30, 29, 15, 20, 2, 5, 25, 31, 17, 12, 4, 19, 9, 11, 6, 18, 7, 32, 27, 28, 24, 10, 3, 8, 26, 13, 33, 16, 34, 39, 36, 35, 14, 38, 22, 0]",110.0,1,4,0.4790445000398904
Beam Search,40,1,"[0, 1, 21, 37, 23, 30, 29, 15, 20, 2, 5, 25, 31, 17, 12, 4, 19, 9, 11, 6, 18, 7, 32, 27, 28, 24, 10, 3, 8, 26, 13, 33, 16, 34, 39, 36, 35, 14, 38, 22, 0]",110.0,2,4,0.48241420002887025
Beam Search,40,1,"[0, 1, 21, 37, 23, 30, 29, 15, 20, 2, 5, 25, 31, 17, 12, 4, 19, 9, 11, 6, 18, 7, 32, 27, 28, 24, 10, 3, 8, 26, 13, 33, 16, 34, 39, 36, 35, 14, 38, 22, 0]",110.0,3,4,0.4803548000054434
Beam Search,40,1,"[0, 1, 21, 37, 23, 30, 29, 15, 20, 2, 5, 25, 31, 17, 12, 4, 19, 9, 11, 6, 18, 7, 32, 27, 28, 24, 10, 3, 8, 26, 13, 33, 16, 34, 39, 36, 35, 14, 38, 22, 0]",110.0,4,4,0.4797571999952197
Beam Search,40,1,"[0, 1, 21, 37, 23, 30, 29, 15, 20, 2, 5, 25, 31, 13, 17, 12, 4, 19, 9, 11, 8, 26, 22, 35, 14, 38, 27, 28, 24, 10, 3, 36, 33, 6, 18, 7, 16, 32, 34, 39, 0]",103.0,0,7,0.8280844000400975
Beam Search,40,1,"[0, 1, 21, 37, 23, 30, 29, 15, 20, 2, 5, 25, 31, 13, 17, 12, 4, 19, 9, 11, 8, 26, 22, 35, 14, 38, 27, 28, 24, 10, 3, 36, 33, 6, 18, 7, 16, 32, 34, 39, 0]",103.0,1,7,0.8270751999807544
