Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Beam width,Time
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 28, 7, 17, 23, 12, 14, 4, 9, 22, 27, 16, 8, 19, 29, 24, 13, 11, 6, 3, 21, 0]",74.0,2,13,0.47933760000159964
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 28, 7, 17, 23, 12, 14, 4, 9, 22, 27, 16, 8, 19, 29, 24, 13, 11, 6, 3, 21, 0]",74.0,3,13,0.4812347000115551
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 28, 7, 17, 23, 12, 14, 4, 9, 22, 27, 16, 8, 19, 29, 24, 13, 11, 6, 3, 21, 0]",74.0,4,13,0.48116849997313693
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 21, 24, 7, 8, 20, 28, 14, 3, 19, 29, 11, 10, 27, 5, 17, 15, 26, 18, 0]",98.0,0,1,0.041982000053394586
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 21, 24, 7, 8, 20, 28, 14, 3, 19, 29, 11, 10, 27, 5, 17, 15, 26, 18, 0]",98.0,1,1,0.04190330003621057
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 21, 24, 7, 8, 20, 28, 14, 3, 19, 29, 11, 10, 27, 5, 17, 15, 26, 18, 0]",98.0,2,1,0.0421786000370048
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 21, 24, 7, 8, 20, 28, 14, 3, 19, 29, 11, 10, 27, 5, 17, 15, 26, 18, 0]",98.0,3,1,0.04167480004252866
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 21, 24, 7, 8, 20, 28, 14, 3, 19, 29, 11, 10, 27, 5, 17, 15, 26, 18, 0]",98.0,4,1,0.04178590001538396
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 26, 8, 20, 28, 10, 27, 3, 19, 18, 29, 11, 7, 0]",80.0,0,4,0.15208420000271872
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 26, 8, 20, 28, 10, 27, 3, 19, 18, 29, 11, 7, 0]",80.0,1,4,0.15203749999636784
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 26, 8, 20, 28, 10, 27, 3, 19, 18, 29, 11, 7, 0]",80.0,2,4,0.15132529998663813
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 26, 8, 20, 28, 10, 27, 3, 19, 18, 29, 11, 7, 0]",80.0,3,4,0.1514471000409685
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 26, 8, 20, 28, 10, 27, 3, 19, 18, 29, 11, 7, 0]",80.0,4,4,0.15149749995907769
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 11, 7, 18, 3, 19, 8, 20, 28, 29, 26, 17, 15, 10, 27, 5, 0]",87.0,0,7,0.2601114999852143
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 11, 7, 18, 3, 19, 8, 20, 28, 29, 26, 17, 15, 10, 27, 5, 0]",87.0,1,7,0.2599944999674335
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 11, 7, 18, 3, 19, 8, 20, 28, 29, 26, 17, 15, 10, 27, 5, 0]",87.0,2,7,0.2610516000422649
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 11, 7, 18, 3, 19, 8, 20, 28, 29, 26, 17, 15, 10, 27, 5, 0]",87.0,3,7,0.2606861999956891
Beam Search,30,42,"[0, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 11, 7, 18, 3, 19, 8, 20, 28, 29, 26, 17, 15, 10, 27, 5, 0]",87.0,4,7,0.2609876000205986
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 7, 18, 3, 19, 8, 28, 29, 11, 10, 5, 17, 20, 27, 15, 0]",83.0,0,10,0.3706788999843411
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 7, 18, 3, 19, 8, 28, 29, 11, 10, 5, 17, 20, 27, 15, 0]",83.0,1,10,0.3704928999650292
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 7, 18, 3, 19, 8, 28, 29, 11, 10, 5, 17, 20, 27, 15, 0]",83.0,2,10,0.37305759999435395
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 7, 18, 3, 19, 8, 28, 29, 11, 10, 5, 17, 20, 27, 15, 0]",83.0,3,10,0.36972770001739264
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 7, 18, 3, 19, 8, 28, 29, 11, 10, 5, 17, 20, 27, 15, 0]",83.0,4,10,0.37025450001237914
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 18, 29, 11, 10, 27, 3, 19, 8, 20, 28, 7, 0]",74.0,0,13,0.47948719997657463
