Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Beam Search,17,1,"[0, 15, 10, 4, 6, 12, 14, 9, 13, 16, 7, 5, 2, 1, 11, 3, 8, 0]",69.0,1,0.037414099962916225
Beam Search,17,1,"[0, 15, 10, 4, 6, 12, 14, 9, 13, 16, 7, 5, 2, 1, 11, 3, 8, 0]",69.0,2,0.037553700036369264
Beam Search,17,1,"[0, 15, 10, 4, 6, 12, 14, 9, 13, 16, 7, 5, 2, 1, 11, 3, 8, 0]",69.0,3,0.03739030001452193
Beam Search,17,1,"[0, 15, 10, 4, 6, 12, 14, 9, 13, 16, 7, 5, 2, 1, 11, 3, 8, 0]",69.0,4,0.03751410002587363
Beam Search,18,1,"[0, 14, 13, 2, 12, 16, 9, 11, 1, 10, 4, 15, 8, 7, 3, 17, 5, 6, 0]",68.0,0,0.04758190002758056
Beam Search,18,1,"[0, 14, 13, 2, 12, 16, 9, 11, 1, 10, 4, 15, 8, 7, 3, 17, 5, 6, 0]",68.0,1,0.04702870000619441
Beam Search,18,1,"[0, 14, 13, 2, 12, 16, 9, 11, 1, 10, 4, 15, 8, 7, 3, 17, 5, 6, 0]",68.0,2,0.04725379997398704
Beam Search,18,1,"[0, 14, 13, 2, 12, 16, 9, 11, 1, 10, 4, 15, 8, 7, 3, 17, 5, 6, 0]",68.0,3,0.047345399972982705
Beam Search,18,1,"[0, 14, 13, 2, 12, 16, 9, 11, 1, 10, 4, 15, 8, 7, 3, 17, 5, 6, 0]",68.0,4,0.047417800000403076
Beam Search,19,1,"[0, 1, 16, 7, 12, 3, 14, 17, 8, 9, 2, 4, 6, 15, 11, 10, 5, 13, 18, 0]",75.0,0,0.058688499964773655
Beam Search,19,1,"[0, 1, 16, 7, 12, 3, 14, 17, 8, 9, 2, 4, 6, 15, 11, 10, 5, 13, 18, 0]",75.0,1,0.058253100025467575
Beam Search,19,1,"[0, 1, 16, 7, 12, 3, 14, 17, 8, 9, 2, 4, 6, 15, 11, 10, 5, 13, 18, 0]",75.0,2,0.05812629999127239
Beam Search,19,1,"[0, 1, 16, 7, 12, 3, 14, 17, 8, 9, 2, 4, 6, 15, 11, 10, 5, 13, 18, 0]",75.0,3,0.05846949998522177
Beam Search,19,1,"[0, 1, 16, 7, 12, 3, 14, 17, 8, 9, 2, 4, 6, 15, 11, 10, 5, 13, 18, 0]",75.0,4,0.058409799996297807
