Algorithm,MatrixSize,Seed,Path,Length,Time
Branch and Bound,11,2137,"[0, 4, 10, 3, 5, 2, 6, 1, 9, 7, 8, 0]",63.0,0.020603850000043167
Branch and Bound,12,2137,"[0, 2, 3, 1, 10, 8, 6, 4, 9, 11, 5, 7, 0]",64.0,0.023506329999690934
Branch and Bound,13,2137,"[0, 4, 5, 11, 8, 7, 3, 10, 6, 12, 2, 1, 9, 0]",63.0,0.029326220000257308
Branch and Bound,14,2137,"[0, 1, 8, 7, 13, 12, 5, 6, 2, 9, 10, 11, 3, 4, 0]",68.0,0.012562148999677447
Branch and Bound,15,2137,"[0, 1, 12, 2, 3, 11, 5, 4, 13, 10, 6, 9, 7, 14, 8, 0]",75.0,0.3070197189999817
Branch and Bound,16,2137,"[0, 4, 15, 7, 3, 8, 14, 12, 10, 9, 13, 1, 11, 5, 6, 2, 0]",83.0,6.100933566999629
Branch and Bound,17,2137,"[0, 2, 3, 14, 11, 15, 6, 8, 5, 13, 10, 1, 9, 16, 12, 4, 7, 0]",71.0,3.060679279999931
Branch and Bound,18,2137,"[0, 1, 9, 6, 7, 15, 11, 3, 10, 17, 12, 13, 14, 16, 5, 8, 4, 2, 0]",77.0,5.543770883000434
Branch and Bound,19,2137,"[0, 1, 3, 17, 12, 2, 9, 5, 14, 15, 7, 8, 16, 13, 11, 10, 18, 4, 6, 0]",75.0,6.3830080739999175
Branch and Bound,20,2137,"[0, 4, 12, 18, 1, 16, 2, 15, 6, 13, 7, 8, 10, 19, 11, 9, 17, 3, 5, 14, 0]",78.0,29.390252332999808
